Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 3 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 2(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 4 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 3 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 4 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 1(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/11/24 20:00:00,2446.9216150407074,0,14370.392247137988,0,0,0,0,0,0,0,0,0,0,-0.38455408926972057,0.16634723655527162,0.16634723655527162,-1.1644330953838573,-1.1946351516037044,8.079858945506047,5.57351278284635,5.57351278284635,33.527974678400355,34.98568646684055,2446.9216150407074,2446.9216150407074,0.0,2718.8017944896746,0.0,2446.9216150407074,2718.8017944896746
2019/11/24 21:00:00,2468.8558407208425,0,13875.190061969466,0,0,0,0,0,0,0,0,0,0,-0.37161764280777193,0.16961518593729605,0.16961518593729605,-1.1881279314555637,-1.219016920041822,7.875077899464458,5.596296272497227,5.596296272497227,34.669311464964224,36.181956438993254,2468.8558407208425,2468.8558407208425,0.0,2743.1731563564917,0.0,2468.8558407208425,2743.1731563564917
2019/11/24 22:00:00,2274.9800921994342,0,14782.769965193516,0,0,0,0,0,0,0,0,0,0,-0.3830427551780641,0.14665485924111948,0.14665485924111948,-1.2236053569905025,-1.2567488739565353,8.055566367261989,5.445644001692884,5.445644001692884,36.40895264826074,38.06538954197179,2274.9800921994342,2274.9800921994342,0.0,2527.755657999371,0.0,2274.9800921994342,2527.755657999371
2019/11/24 23:00:00,1560.1769593379347,0,13528.211921631639,0,0,0,0,0,0,0,0,0,0,-0.4185312487017378,0.006641343563637377,0.006641343563637377,-1.2456213584609552,-1.2799458008459632,8.651774041112319,5.000913047960651,5.000913047960651,37.50604303745466,39.24140219980505,1560.1769593379347,1560.1769593379347,0.0,1733.5299548199273,0.0,1560.1769593379347,1733.5299548199273
2019/11/25 00:00:00,1040.922268257746,0,11742.005053759942,0,0,0,0,0,0,0,0,0,0,-0.4491120563821315,-0.18430896831037313,-0.18430896831037313,-1.2851632988979658,-1.3239242959761903,9.208834470046042,5.704244195420358,5.704244195420358,39.50770450293697,41.50533847210844,1040.922268257746,1040.922268257746,0.0,1156.5802980641622,0.0,1040.922268257746,1156.5802980641622
2019/11/25 01:00:00,587.1563986220299,0,6297.794601633046,0,0,0,0,0,0,0,0,0,0,-0.4743502388373267,-0.3310757289573999,-0.3310757289573999,-1.2928324268747204,-1.3318570765196092,9.698864354569281,7.279482997452632,7.279482997452632,39.90029174939537,41.91812642644366,587.1563986220299,587.1563986220299,0.0,652.3959984689221,0.0,587.1563986220299,652.3959984689221
2019/11/25 02:00:00,395.8397398383601,0,422.09084719636866,0,0,0,0,0,0,0,0,0,0,-0.3152524901207872,0.2161397225925922,0.2161397225925922,-1.3363039118210944,-1.3776035790812142,7.065968159064667,5.9690281355213415,5.9690281355213415,42.15007371575229,44.32194897730325,395.8397398383601,395.8397398383601,0.0,439.8219331537334,0.0,395.8397398383601,439.8219331537334
2019/11/25 03:00:00,452.6937222099437,0,633.136270794553,0,0,0,0,0,0,0,0,0,0,-0.33112577762828865,0.3546025344101444,0.3546025344101444,-1.3483800216028698,-1.3915397107257503,7.280175186761397,7.616596327392088,7.616596327392088,42.78190725983057,45.06142576015736,452.6937222099437,452.6937222099437,0.0,502.9930246777152,0.0,452.6937222099437,502.9930246777152
2019/11/25 04:00:00,395.8623259190935,0,633.556765832962,0,0,0,0,0,0,0,0,0,0,-0.33321726357291054,0.41470637167891194,0.41470637167891194,-1.3701235993867649,-1.4146169988752877,7.309196153545329,8.584923707848759,8.584923707848759,43.92634896153636,46.29236856134036,395.8623259190935,395.8623259190935,0.0,439.84702879899277,0.0,395.8623259190935,439.84702879899277
2019/11/25 05:00:00,595.6965364474248,0,1055.2271179909214,0,0,0,0,0,0,0,0,0,0,-0.3372676656620004,0.4739397110831777,0.4739397110831777,-1.3648824188411988,-1.4079254921045423,7.365926577816751,9.690673904818965,9.690673904818965,43.64971981218065,45.934665568115676,595.6965364474248,595.6965364474248,0.0,661.8850404971387,0.0,595.6965364474248,661.8850404971387
