Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 3(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 3(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/12/25 08:00:00,2931.1658842472934,0.0,26797.530106964623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035797118301736174,0.049015669334382665,0.1361520350452835,0.1361520350452835,5.026527843927667,5.049739054110887,5.384049179381378,5.384049179381378,2931.1658842472934,2931.1658842472934,0.0,3256.8509824969933,0.0,2931.1658842472934,3256.8509824969933
2019/12/25 09:00:00,3141.1320226549515,0.0,26665.874180199447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38187368810402517,-0.35195287123923386,-0.49036361830832104,-0.49036361830832104,8.036842152269301,7.5774537919788685,10.024020228506956,10.024020228506956,3141.1320226549515,3141.1320226549515,0.0,3490.1466918388346,0.0,3141.1320226549515,3490.1466918388346
2019/12/25 10:00:00,3439.364854095927,0.0,26355.713113692575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45296544725145554,-0.4126657152326918,-0.5410413023361699,-0.5410413023361699,9.281878844341975,8.549514066339157,11.126071316157507,11.126071316157507,3439.364854095927,3439.364854095927,0.0,3821.5165045510303,0.0,3439.364854095927,3821.5165045510303
2019/12/25 11:00:00,4014.777772824371,0.0,28833.583751758197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44140415557030116,-0.40527340556235725,-0.4318947925207302,-0.4318947925207302,9.064640723456648,8.422735588925619,8.890264600023144,8.890264600023144,4014.777772824371,4014.777772824371,0.0,4460.864192027078,0.0,4014.777772824371,4460.864192027078
2019/12/25 12:00:00,4258.477521663238,0.0,27955.484704817994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42962102540440383,-0.3952232951466056,-0.35683062804259275,-0.35683062804259275,8.849145134868564,8.254127451748587,7.649742404336365,7.649742404336365,4258.477521663238,4258.477521663238,0.0,4731.64169073693,0.0,4258.477521663238,4731.64169073693
2019/12/25 13:00:00,3891.114118495258,0.0,26871.444374032508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4011425388987213,-0.36806799554739666,-0.20535361373690622,-0.20535361373690622,8.35291000618524,7.820135914282957,5.87455645965133,5.87455645965133,3891.114118495258,3891.114118495258,0.0,4323.460131661398,0.0,3891.114118495258,4323.460131661398
2019/12/25 14:00:00,3928.1024134477116,0.0,26081.573089579273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3570630990212176,-0.3602015983104652,-0.1692934898925702,-0.1692934898925702,7.6532129154262805,7.700292122271009,5.594033708141197,5.594033708141197,3928.1024134477116,3928.1024134477116,0.0,4364.558237164124,0.0,3928.1024134477116,4364.558237164124
2019/12/25 15:00:00,3615.5063429623306,0.0,25890.991986619647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39672697699438897,-0.3772590888872692,-0.2358335742227056,-0.2358335742227056,8.279079464173776,7.96350265022447,6.154095303345258,6.154095303345258,3615.5063429623306,3615.5063429623306,0.0,4017.2292699581453,0.0,3615.5063429623306,4017.2292699581453
2019/12/25 16:00:00,3334.5733141342093,0.0,28320.285847578285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43258159447130834,-0.4027248414596068,-0.25274624557048697,-0.25274624557048697,8.9027285737466,8.379569964506942,6.326018906399227,6.326018906399227,3334.5733141342093,3334.5733141342093,0.0,3705.0814601491215,0.0,3334.5733141342093,3705.0814601491215
2019/12/25 17:00:00,3695.0729339276804,0.0,29709.901219881263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45551515460441966,-0.4202750687310357,-0.30401342148753113,-0.30401342148753113,9.330561991796628,8.682460278701285,6.920753220158602,6.920753220158602,3695.0729339276804,3695.0729339276804,0.0,4105.636593252978,0.0,3695.0729339276804,4105.636593252978
